"
Name",,"
Dilution",A4.IL-23,,A5.IL-1a,A6.IFN-g,,A7.TNF-a,,,A8.MCP-1,A10.Il-12p70,,,,B2.IL-1b,B3.IL-10,B4.IL-6,B5.IL-27,B6.IL-17A,B7.IFN-b,B9.GM-CSF
Inflammation_D2_Sample83.fcs,,1,17.31,,35.34,3.47,,845.45,,,120.09,5.52,,,,<7.86,16.42,>13304.56,150.03,11.45,505.19,<8.51
Inflammation_D3_Sample84.fcs,,1,18.13,,14.39,3.35,,101.58,,,107.88,3.47,,,,<7.86,8.1,38.34,24.31,3.81,868.16,<8.51
Inflammation_D4_Sample100.fcs,,1,16.2,,23.5,4.03,,1863.03,,,125.68,14.49,,,,15.09,12.85,>13304.56,245.92,3.81,2829.98,<8.51
Inflammation_D5_Sample114.fcs,,1,6.32,,45.89,2.89,,1498.01,,,24.77,<1.77,,,,<7.86,<1.69,1108.82,<17.33,<1.98,162.51,<8.51
Inflammation_D6_Sample115.fcs,,1,16.8,,11.76,5.65,,75.32,,,48.18,4.44,,,,<7.86,5.84,26.04,23.73,3.74,151.74,<8.51
Inflammation_D7_Sample116.fcs,,1,<6.16,,24.52,2.3,,377.64,,,23.96,<1.77,,,,<7.86,<1.69,613.21,<17.33,<1.98,277,<8.51
Inflammation_E2_Sample86.fcs,,1,47.71,,49.16,7.76,,9133.74,,,359.85,275.57,,,,56.98,164.27,>13304.56,4971.79,34.44,4829.53,61.91
Inflammation_E3_Sample87.fcs,,1,8.95,,9.29,3.22,,459.06,,,177.63,<1.77,,,,<7.86,<1.69,845.39,22.57,<1.98,31796.52,<8.51
Inflammation_E4_Sample101.fcs,,1,56.35,,99.11,8.8,,12243.08,,,281.98,252.88,,,,67.79,115.92,>13304.56,2357.39,24.56,17647.84,50.62
Inflammation_E5_Sample117.fcs,,1,<6.16,,38.35,2.95,,6065.53,,,68.15,<1.77,,,,<7.86,7,11370.86,<17.33,<1.98,2063.08,<8.51
Inflammation_E6_Sample118.fcs,,1,<6.16,,8.8,2.95,,102.23,,,33.72,1.92,,,,<7.86,<1.69,25.32,<17.33,<1.98,1465.57,<8.51
Inflammation_E7_Sample119.fcs,,1,12.34,,32.36,3.54,,5582.28,,,74.51,2.58,,,,<7.86,37.6,11592.29,28.5,6,5448.26,<8.51
Inflammation_F2_Sample89.fcs,,1,53.68,,41.85,9.86,,9712.18,,,282.16,315.88,,,,50.32,157.57,>13304.56,4034.52,32.04,2875.51,56.8
Inflammation_F3_Sample90.fcs,,1,11.04,,11,3.28,,440.27,,,250.16,<1.77,,,,<7.86,<1.69,1269.6,74.12,<1.98,33750.27,<8.51
Inflammation_F4_Sample102.fcs,,1,78.66,,140.57,9.98,,12881.91,,,318.92,229.33,,,,95.35,179.37,>13304.56,2949.18,41.86,33712.89,69.73
Inflammation_F5_Sample120.fcs,,1,21.94,,80.18,4.64,,15130.29,,,117.25,6.41,,,,<7.86,37.49,>13304.56,<17.33,3.19,3295.89,<8.51
Inflammation_F6_Sample121.fcs,,1,7.06,,10.73,2.62,,113.68,,,18.98,<1.77,,,,<7.86,<1.69,27.54,<17.33,<1.98,998.64,<8.51
Inflammation_F7_Sample122.fcs,,1,9.65,,59.99,3.85,,7709.97,,,95.13,1.9,,,,<7.86,9.81,>13304.56,<17.33,<1.98,3880,<8.51
Inflammation_G2_Sample92.fcs,,1,<6.16,,20.77,2.73,,88.92,,,24.77,<1.77,,,,<7.86,<1.69,13.92,<17.33,<1.98,<31.25,<8.51
Inflammation_G3_Sample93.fcs,,1,<6.16,,13.87,2.05,,91.83,,,41.91,<1.77,,,,<7.86,<1.69,20.25,<17.33,<1.98,35.79,<8.51
Inflammation_G4_Sample103.fcs,,1,7.2,,13.88,2.64,,71.26,,,26.22,<1.77,,,,<7.86,<1.69,20.68,<17.33,2.41,45.62,<8.51
